region,sensitivity,specificity,PPV,NPV,subject
w32_4,99.92940345923049,51.81913774973712,38.18966680156482,99.95943204868153,C1
w32_4,94.7085201793722,62.27765498368593,37.07865168539326,98.04473902236951,C10
w32_4,100,53.07192283497588,39.56251687820686,100,C11
w32_4,0,97.35566793088917,0,95.58336781133637,C12
w32_4,0,95.82892229515139,0,95.03412073490813,C13
w32_4,0,97.12260657992172,0,95.16948274074842,C14
w32_4,98.93695014662757,55.11968786249077,38.80661394680086,99.4482496194825,C15
w32_4,85.52278820375335,61.4810139896918,25.840421223167276,96.43623164494308,C16
w32_4,100,47.9521109010712,36.55101779541672,100,C18
w32_4,97.34939759036145,58.755396440981364,38.2274089260369,98.83103081827844,C19
w32_4,100,46.73467241560626,34.552267734849465,100,C2
w32_4,86.16766467065868,70.45765386638611,33.882740758182244,96.66570438799076,C20
w32_4,96.2993762993763,64.60455834471169,40.73162152655645,98.57371794871796,C21
w32_4,0,97.83572635135135,0,95.39839407041384,C22
w32_4,42.285714285714285,94.67018469656992,36.95380774032459,95.69020695540857,C23
w32_4,100,46.97620794465989,34.015912351636885,100,C24
w32_4,75.10105092966856,74.89993680219087,28.049516908212563,95.84849710203531,C25
w32_4,0,99.19704173269942,0,95.38758508584782,C3
w32_4,23.756906077348066,92.92268748022362,16.125,95.51170858629662,C4
w32_4,98.77928076542395,64.19402356902357,46.803188994841335,99.39719778429456,C5
w32_4,99.96712689020382,48.489632670245236,38.32388153749212,99.97829861111111,C6
w32_4,99.60899315738025,52.57178920795204,40.404440919904836,99.76047904191617,C7
w32_4,0,96.54627777192798,0,95.60004170576583,C8
w32_4,100,52.21731820092476,40.31241795746915,100,C9
