region,sensitivity,specificity,PPV,NPV,subject
w32_4,100,46.72975814931651,35.89776034417309,100,C1
w32_4,100,46.77402378696979,37.320277640059494,100,C10
w32_4,100,46.59257706018033,36.51545363908275,100,C11
w32_4,100,46.818373367045936,39.44337811900192,100,C12
w32_4,100,47.046368833368625,42.03268049600186,100,C13
w32_4,100,47.01153073098487,44.176975370556114,100,C14
w32_4,100,46.86280712854582,36.45649432534678,100,C15
w32_4,100,46.74450404964763,35.65891472868217,100,C16
w32_4,100,46.670867464818315,35.98890709693684,100,C18
w32_4,100,46.79372433400021,35.851212390504,100,C19
w32_4,100,46.73467241560626,34.552267734849465,100,C2
w32_4,100,46.754339821146765,38.19003419638495,100,C20
w32_4,100,46.67576935195883,36.210579218494786,100,C21
w32_4,100,46.91722972972973,42.668187001140254,100,C22
w32_4,100,46.9023746701847,40.79086736495234,100,C23
w32_4,100,46.5779268420501,33.84815055158988,100,C24
w32_4,100,46.808510638297875,38.24140882964412,100,C25
w32_4,100,46.95192815636556,42.087658592848904,100,C3
w32_4,100,46.872692753928916,42.38819627130276,100,C4
w32_4,100,46.75925925925926,39.09484833895041,100,C5
w32_4,99.96712689020382,46.76349857909693,37.54784541301395,99.97749774977498,C6
w32_4,100,46.74450404964763,38.135386119257085,100,C7
w32_4,99.96759559300065,46.78319469306096,37.90391940041774,99.97749774977498,C8
w32_4,100,46.700294241277845,37.7133734495886,100,C9
