region,sensitivity,specificity,PPV,NPV,subject
w271_4,99.40062904278678,61.87095166915795,84.54898793599516,98.00710339384374,C1
w271_4,98.24421842150122,72.09535759096613,88.60305421748488,94.89677952105697,C10
w271_4,99.00904782421371,66.19982493435039,87.18167591407028,96.64110989412194,C11
w271_4,31.72541743970315,97.32232232232232,79.98129092609916,80.86920357662716,C12
w271_4,72.73776166144718,96.09207031744025,93.4561626429479,82.12278426286208,C13
w271_4,70.76998528690535,96.67434126375032,94.3342776203966,80.86882088594051,C14
w271_4,99.49294881952146,62.501571338780636,86.32905591200733,98.10576164167324,C15
w271_4,99.08017953122402,66.15249561073489,86.88532555879495,96.94909024076456,C16
w271_4,96.21128522033399,78.49221183800623,88.340988921913,92.4420311124156,C17
w271_4,99.92880613362541,55.56792873051225,83.55618646396191,99.7113676731794,C18
w271_4,99.17689082155614,62.84888106613025,86.6368199701533,96.9174098487786,C19
w271_4,99.90503323836657,55.65053425518541,83.52325798617598,99.61746174617461,C2
w271_4,96.61342620391497,83.56112376613515,92.52976019322561,92.13059857681039,C20
w271_4,99.09222075267525,69.85303198715573,87.1010357218347,97.399690029275,C21
w271_4,33.46331088266572,97.76494224008036,84.13547237076648,80.57539066542482,C22
w271_4,87.08782742681048,95.49061594659277,95.94839293798098,85.77732518669382,C23
w271_4,99.94855967078189,55.38519072550486,83.0105383081743,99.7978436657682,C24
w271_4,95.88116607528005,85.43567945993249,92.20527231366252,92.02800969566388,C25
w271_4,53.306205493387594,99.24242424242425,97.21706864564007,81.06435643564357,C3
w271_4,86.60761925088038,93.74450445923878,94.21871372184816,85.60449644413856,C4
w271_4,98.99524061343205,73.24649298597194,89.75834292289989,96.8532626697582,C5
w271_4,99.90155770455729,55.97758405977584,82.99417905421657,99.62322695035462,C6
w271_4,99.07754234919214,64.943032427695,86.35610564272488,96.9170403587444,C7
w271_4,48.60270815326995,96.73530889000503,86.64612223934259,81.1973018549747,C8
w271_4,99.41990915558475,61.50287571892973,85.50786030311588,97.8905472636816,C9
